supplier_id,supplier_name,category_id,category_name,product_id,product_name,product_unit_price,product_unit_stock,units_on_order,order_id,order_date,order_price,order_quantity,order_discount,customer_id,customer_country,shipper_id,shipper_name,shipped_date,freight,employee_id,employee_last_name,employee_first_name
5,Cooperativa de Quesos 'Las Cabras',4,Dairy Products,11,Queso Cabrales,21,22,30,10248,1996/7/4,14,12,0,VINET,France,3,Federal Shipping,1996/7/16,32.38,5,Buchanan,Steven
20,Leka Trading,5,Grains/Cereals,42,Singaporean Hokkien Fried Mee,14,26,0,10248,1996/7/4,9.8,10,0,VINET,France,3,Federal Shipping,1996/7/16,32.38,5,Buchanan,Steven
14,Formaggi Fortini s.r.l.,4,Dairy Products,72,Mozzarella di Giovanni,34.8,14,0,10248,1996/7/4,34.8,5,0,VINET,France,3,Federal Shipping,1996/7/16,32.38,5,Buchanan,Steven
6,Mayumi's,7,Produce,14,Tofu,23.25,35,0,10249,1996/7/5,18.6,9,0,TOMSP,Germany,1,Speedy Express,1996/7/10,11.61,6,Suyama,Michael
24,"G'day, Mate",7,Produce,51,Manjimup Dried Apples,53,20,0,10249,1996/7/5,42.4,40,0,TOMSP,Germany,1,Speedy Express,1996/7/10,11.61,6,Suyama,Michael
19,New England Seafood Cannery,8,Seafood,41,Jack's New England Clam Chowder,9.65,85,0,10250,1996/7/8,7.7,10,0,HANAR,Brazil,2,United Package,1996/7/12,65.83,4,Peacock,Margaret
24,"G'day, Mate",7,Produce,51,Manjimup Dried Apples,53,20,0,10250,1996/7/8,42.4,35,0.15,HANAR,Brazil,2,United Package,1996/7/12,65.83,4,Peacock,Margaret
2,New Orleans Cajun Delights,2,Condiments,65,Louisiana Fiery Hot Pepper Sauce,21.05,76,0,10250,1996/7/8,16.8,15,0.15,HANAR,Brazil,2,United Package,1996/7/12,65.83,4,Peacock,Margaret
9,PB Knäckebröd AB,5,Grains/Cereals,22,Gustaf's Knäckebröd,21,104,0,10251,1996/7/8,16.8,6,0.05,VICTE,France,1,Speedy Express,1996/7/15,41.34,3,Leverling,Janet
26,Pasta Buttini s.r.l.,5,Grains/Cereals,57,Ravioli Angelo,19.5,36,0,10251,1996/7/8,15.6,15,0.05,VICTE,France,1,Speedy Express,1996/7/15,41.34,3,Leverling,Janet
2,New Orleans Cajun Delights,2,Condiments,65,Louisiana Fiery Hot Pepper Sauce,21.05,76,0,10251,1996/7/8,16.8,20,0,VICTE,France,1,Speedy Express,1996/7/15,41.34,3,Leverling,Janet
8,"Specialty Biscuits, Ltd.",3,Confections,20,Sir Rodney's Marmalade,81,40,0,10252,1996/7/9,64.8,40,0.05,SUPRD,Belgium,2,United Package,1996/7/11,51.3,4,Peacock,Margaret
15,Norske Meierier,4,Dairy Products,33,Geitost,2.5,112,0,10252,1996/7/9,2,25,0.05,SUPRD,Belgium,2,United Package,1996/7/11,51.3,4,Peacock,Margaret
28,Gai pâturage,4,Dairy Products,60,Camembert Pierrot,34,19,0,10252,1996/7/9,27.2,40,0,SUPRD,Belgium,2,United Package,1996/7/11,51.3,4,Peacock,Margaret
14,Formaggi Fortini s.r.l.,4,Dairy Products,31,Gorgonzola Telino,12.5,0,70,10253,1996/7/10,10,20,0,HANAR,Brazil,2,United Package,1996/7/16,58.17,3,Leverling,Janet
18,Aux joyeux ecclésiastiques,1,Beverages,39,Chartreuse verte,18,69,0,10253,1996/7/10,14.4,42,0,HANAR,Brazil,2,United Package,1996/7/16,58.17,3,Leverling,Janet
23,Karkki Oy,3,Confections,49,Maxilaku,20,10,60,10253,1996/7/10,16,40,0,HANAR,Brazil,2,United Package,1996/7/16,58.17,3,Leverling,Janet
10,Refrescos Americanas LTDA,1,Beverages,24,Guaraná Fantástica,4.5,20,0,10254,1996/7/11,3.6,15,0.15,CHOPS,Switzerland,2,United Package,1996/7/23,22.98,5,Buchanan,Steven
25,Ma Maison,6,Meat/Poultry,55,Pâté chinois,24,115,0,10254,1996/7/11,19.2,21,0.15,CHOPS,Switzerland,2,United Package,1996/7/23,22.98,5,Buchanan,Steven
4,Tokyo Traders,7,Produce,74,Longlife Tofu,10,4,20,10254,1996/7/11,8,21,0,CHOPS,Switzerland,2,United Package,1996/7/23,22.98,5,Buchanan,Steven
1,Exotic Liquids,1,Beverages,2,Chang,19,17,40,10255,1996/7/12,15.2,20,0,RICSU,Switzerland,3,Federal Shipping,1996/7/15,148.33,9,Dodsworth,Anne
7,"Pavlova, Ltd.",3,Confections,16,Pavlova,17.45,29,0,10255,1996/7/12,13.9,35,0,RICSU,Switzerland,3,Federal Shipping,1996/7/15,148.33,9,Dodsworth,Anne
17,Svensk Sjöföda AB,8,Seafood,36,Inlagd Sill,19,112,0,10255,1996/7/12,15.2,25,0,RICSU,Switzerland,3,Federal Shipping,1996/7/15,148.33,9,Dodsworth,Anne
28,Gai pâturage,4,Dairy Products,59,Raclette Courdavault,55,79,0,10255,1996/7/12,44,30,0,RICSU,Switzerland,3,Federal Shipping,1996/7/15,148.33,9,Dodsworth,Anne
24,"G'day, Mate",6,Meat/Poultry,53,Perth Pasties,32.8,0,0,10256,1996/7/15,26.2,15,0,WELLI,Brazil,2,United Package,1996/7/17,13.97,3,Leverling,Janet
12,Plutzer Lebensmittelgroßmärkte AG,2,Condiments,77,Original Frankfurter grüne Soße,13,32,0,10256,1996/7/15,10.4,12,0,WELLI,Brazil,2,United Package,1996/7/17,13.97,3,Leverling,Janet
11,Heli Süßwaren GmbH & Co. KG,3,Confections,27,Schoggi Schokolade,43.9,49,0,10257,1996/7/16,35.1,25,0,HILAA,Venezuela,3,Federal Shipping,1996/7/22,81.91,4,Peacock,Margaret
18,Aux joyeux ecclésiastiques,1,Beverages,39,Chartreuse verte,18,69,0,10257,1996/7/16,14.4,6,0,HILAA,Venezuela,3,Federal Shipping,1996/7/22,81.91,4,Peacock,Margaret
12,Plutzer Lebensmittelgroßmärkte AG,2,Condiments,77,Original Frankfurter grüne Soße,13,32,0,10257,1996/7/16,10.4,15,0,HILAA,Venezuela,3,Federal Shipping,1996/7/22,81.91,4,Peacock,Margaret
1,Exotic Liquids,1,Beverages,2,Chang,19,17,40,10258,1996/7/17,15.2,50,0.2,ERNSH,Austria,1,Speedy Express,1996/7/23,140.51,1,Davolio,Nancy
2,New Orleans Cajun Delights,2,Condiments,5,Chef Anton's Gumbo Mix,21.35,0,0,10258,1996/7/17,17,65,0.2,ERNSH,Austria,1,Speedy Express,1996/7/23,140.51,1,Davolio,Nancy
14,Formaggi Fortini s.r.l.,4,Dairy Products,32,Mascarpone Fabioli,32,9,40,10258,1996/7/17,25.6,6,0.2,ERNSH,Austria,1,Speedy Express,1996/7/23,140.51,1,Davolio,Nancy
8,"Specialty Biscuits, Ltd.",3,Confections,21,Sir Rodney's Scones,10,3,40,10259,1996/7/18,8,10,0,CENTC,Mexico,3,Federal Shipping,1996/7/25,3.25,4,Peacock,Margaret
17,Svensk Sjöföda AB,8,Seafood,37,Gravad lax,26,11,50,10259,1996/7/18,20.8,1,0,CENTC,Mexico,3,Federal Shipping,1996/7/25,3.25,4,Peacock,Margaret
19,New England Seafood Cannery,8,Seafood,41,Jack's New England Clam Chowder,9.65,85,0,10260,1996/7/19,7.7,16,0.25,OTTIK,Germany,1,Speedy Express,1996/7/29,55.09,4,Peacock,Margaret
26,Pasta Buttini s.r.l.,5,Grains/Cereals,57,Ravioli Angelo,19.5,36,0,10260,1996/7/19,15.6,50,0,OTTIK,Germany,1,Speedy Express,1996/7/29,55.09,4,Peacock,Margaret
29,Forêts d'érables,3,Confections,62,Tarte au sucre,49.3,17,0,10260,1996/7/19,39.4,15,0.25,OTTIK,Germany,1,Speedy Express,1996/7/29,55.09,4,Peacock,Margaret
7,"Pavlova, Ltd.",1,Beverages,70,Outback Lager,15,15,10,10260,1996/7/19,12,21,0.25,OTTIK,Germany,1,Speedy Express,1996/7/29,55.09,4,Peacock,Margaret
8,"Specialty Biscuits, Ltd.",3,Confections,21,Sir Rodney's Scones,10,3,40,10261,1996/7/19,8,20,0,QUEDE,Brazil,2,United Package,1996/7/30,3.05,4,Peacock,Margaret
16,Bigfoot Breweries,1,Beverages,35,Steeleye Stout,18,20,0,10261,1996/7/19,14.4,20,0,QUEDE,Brazil,2,United Package,1996/7/30,3.05,4,Peacock,Margaret
2,New Orleans Cajun Delights,2,Condiments,5,Chef Anton's Gumbo Mix,21.35,0,0,10262,1996/7/22,17,12,0.2,RATTC,USA,3,Federal Shipping,1996/7/25,48.29,8,Callahan,Laura
3,Grandma Kelly's Homestead,7,Produce,7,Uncle Bob's Organic Dried Pears,30,15,0,10262,1996/7/22,24,15,0,RATTC,USA,3,Federal Shipping,1996/7/25,48.29,8,Callahan,Laura
26,Pasta Buttini s.r.l.,5,Grains/Cereals,56,Gnocchi di nonna Alice,38,21,10,10262,1996/7/22,30.4,2,0,RATTC,USA,3,Federal Shipping,1996/7/25,48.29,8,Callahan,Laura
7,"Pavlova, Ltd.",3,Confections,16,Pavlova,17.45,29,0,10263,1996/7/23,13.9,60,0.25,ERNSH,Austria,3,Federal Shipping,1996/7/31,146.06,9,Dodsworth,Anne
10,Refrescos Americanas LTDA,1,Beverages,24,Guaraná Fantástica,4.5,20,0,10263,1996/7/23,3.6,28,0,ERNSH,Austria,3,Federal Shipping,1996/7/31,146.06,9,Dodsworth,Anne
13,Nord-Ost-Fisch Handelsgesellschaft mbH,8,Seafood,30,Nord-Ost Matjeshering,25.89,10,0,10263,1996/7/23,20.7,60,0.25,ERNSH,Austria,3,Federal Shipping,1996/7/31,146.06,9,Dodsworth,Anne
4,Tokyo Traders,7,Produce,74,Longlife Tofu,10,4,20,10263,1996/7/23,8,36,0.25,ERNSH,Austria,3,Federal Shipping,1996/7/31,146.06,9,Dodsworth,Anne
1,Exotic Liquids,1,Beverages,2,Chang,19,17,40,10264,1996/7/24,15.2,35,0,FOLKO,Sweden,3,Federal Shipping,1996/8/23,3.67,6,Suyama,Michael
19,New England Seafood Cannery,8,Seafood,41,Jack's New England Clam Chowder,9.65,85,0,10264,1996/7/24,7.7,25,0.15,FOLKO,Sweden,3,Federal Shipping,1996/8/23,3.67,6,Suyama,Michael
7,"Pavlova, Ltd.",6,Meat/Poultry,17,Alice Mutton,39,0,0,10265,1996/7/25,31.2,30,0,BLONP,France,1,Speedy Express,1996/8/12,55.28,2,Fuller,Andrew
7,"Pavlova, Ltd.",1,Beverages,70,Outback Lager,15,15,10,10265,1996/7/25,12,20,0,BLONP,France,1,Speedy Express,1996/8/12,55.28,2,Fuller,Andrew
5,Cooperativa de Quesos 'Las Cabras',4,Dairy Products,12,Queso Manchego La Pastora,38,86,0,10266,1996/7/26,30.4,12,0.05,WARTH,Finland,3,Federal Shipping,1996/7/31,25.73,3,Leverling,Janet
19,New England Seafood Cannery,8,Seafood,40,Boston Crab Meat,18.4,123,0,10267,1996/7/29,14.7,50,0,FRANK,Germany,1,Speedy Express,1996/8/6,208.58,4,Peacock,Margaret
28,Gai pâturage,4,Dairy Products,59,Raclette Courdavault,55,79,0,10267,1996/7/29,44,70,0.15,FRANK,Germany,1,Speedy Express,1996/8/6,208.58,4,Peacock,Margaret
23,Karkki Oy,1,Beverages,76,Lakkalikööri,18,57,0,10267,1996/7/29,14.4,15,0.15,FRANK,Germany,1,Speedy Express,1996/8/6,208.58,4,Peacock,Margaret
12,Plutzer Lebensmittelgroßmärkte AG,6,Meat/Poultry,29,Thüringer Rostbratwurst,123.79,0,0,10268,1996/7/30,99,10,0,GROSR,Venezuela,3,Federal Shipping,1996/8/2,66.29,8,Callahan,Laura
14,Formaggi Fortini s.r.l.,4,Dairy Products,72,Mozzarella di Giovanni,34.8,14,0,10268,1996/7/30,27.8,4,0,GROSR,Venezuela,3,Federal Shipping,1996/8/2,66.29,8,Callahan,Laura
15,Norske Meierier,4,Dairy Products,33,Geitost,2.5,112,0,10269,1996/7/31,2,60,0.05,WHITC,USA,1,Speedy Express,1996/8/9,4.56,5,Buchanan,Steven
14,Formaggi Fortini s.r.l.,4,Dairy Products,72,Mozzarella di Giovanni,34.8,14,0,10269,1996/7/31,27.8,20,0.05,WHITC,USA,1,Speedy Express,1996/8/9,4.56,5,Buchanan,Steven
17,Svensk Sjöföda AB,8,Seafood,36,Inlagd Sill,19,112,0,10270,1996/8/1,15.2,30,0,WARTH,Finland,1,Speedy Express,1996/8/2,136.54,1,Davolio,Nancy
20,Leka Trading,1,Beverages,43,Ipoh Coffee,46,17,10,10270,1996/8/1,36.8,25,0,WARTH,Finland,1,Speedy Express,1996/8/2,136.54,1,Davolio,Nancy
15,Norske Meierier,4,Dairy Products,33,Geitost,2.5,112,0,10271,1996/8/1,2,24,0,SPLIR,USA,2,United Package,1996/8/30,4.54,6,Suyama,Michael
8,"Specialty Biscuits, Ltd.",3,Confections,20,Sir Rodney's Marmalade,81,40,0,10272,1996/8/2,64.8,6,0,RATTC,USA,2,United Package,1996/8/6,98.03,6,Suyama,Michael
14,Formaggi Fortini s.r.l.,4,Dairy Products,31,Gorgonzola Telino,12.5,0,70,10272,1996/8/2,10,40,0,RATTC,USA,2,United Package,1996/8/6,98.03,6,Suyama,Michael
14,Formaggi Fortini s.r.l.,4,Dairy Products,72,Mozzarella di Giovanni,34.8,14,0,10272,1996/8/2,27.8,24,0,RATTC,USA,2,United Package,1996/8/6,98.03,6,Suyama,Michael
4,Tokyo Traders,8,Seafood,10,Ikura,31,31,0,10273,1996/8/5,24.8,24,0.05,QUICK,Germany,3,Federal Shipping,1996/8/12,76.07,3,Leverling,Janet
14,Formaggi Fortini s.r.l.,4,Dairy Products,31,Gorgonzola Telino,12.5,0,70,10273,1996/8/5,10,15,0.05,QUICK,Germany,3,Federal Shipping,1996/8/12,76.07,3,Leverling,Janet
15,Norske Meierier,4,Dairy Products,33,Geitost,2.5,112,0,10273,1996/8/5,2,20,0,QUICK,Germany,3,Federal Shipping,1996/8/12,76.07,3,Leverling,Janet
19,New England Seafood Cannery,8,Seafood,40,Boston Crab Meat,18.4,123,0,10273,1996/8/5,14.7,60,0.05,QUICK,Germany,3,Federal Shipping,1996/8/12,76.07,3,Leverling,Janet
23,Karkki Oy,1,Beverages,76,Lakkalikööri,18,57,0,10273,1996/8/5,14.4,33,0.05,QUICK,Germany,3,Federal Shipping,1996/8/12,76.07,3,Leverling,Janet
15,Norske Meierier,4,Dairy Products,71,Flotemysost,21.5,26,0,10274,1996/8/6,17.2,20,0,VINET,France,1,Speedy Express,1996/8/16,6.01,6,Suyama,Michael
14,Formaggi Fortini s.r.l.,4,Dairy Products,72,Mozzarella di Giovanni,34.8,14,0,10274,1996/8/6,27.8,7,0,VINET,France,1,Speedy Express,1996/8/16,6.01,6,Suyama,Michael
10,Refrescos Americanas LTDA,1,Beverages,24,Guaraná Fantástica,4.5,20,0,10275,1996/8/7,3.6,12,0.05,MAGAA,Italy,1,Speedy Express,1996/8/9,26.93,1,Davolio,Nancy
28,Gai pâturage,4,Dairy Products,59,Raclette Courdavault,55,79,0,10275,1996/8/7,44,6,0.05,MAGAA,Italy,1,Speedy Express,1996/8/9,26.93,1,Davolio,Nancy
4,Tokyo Traders,8,Seafood,10,Ikura,31,31,0,10276,1996/8/8,24.8,15,0,TORTU,Mexico,3,Federal Shipping,1996/8/14,13.84,8,Callahan,Laura
6,Mayumi's,8,Seafood,13,Konbu,6,24,0,10276,1996/8/8,4.8,10,0,TORTU,Mexico,3,Federal Shipping,1996/8/14,13.84,8,Callahan,Laura
12,Plutzer Lebensmittelgroßmärkte AG,7,Produce,28,Rössle Sauerkraut,45.6,26,0,10277,1996/8/9,36.4,20,0,MORGK,Germany,3,Federal Shipping,1996/8/13,125.77,2,Fuller,Andrew
29,Forêts d'érables,3,Confections,62,Tarte au sucre,49.3,17,0,10277,1996/8/9,39.4,12,0,MORGK,Germany,3,Federal Shipping,1996/8/13,125.77,2,Fuller,Andrew
20,Leka Trading,2,Condiments,44,Gula Malacca,19.45,27,0,10278,1996/8/12,15.5,16,0,BERGS,Sweden,2,United Package,1996/8/16,92.69,8,Callahan,Laura
28,Gai pâturage,4,Dairy Products,59,Raclette Courdavault,55,79,0,10278,1996/8/12,44,15,0,BERGS,Sweden,2,United Package,1996/8/16,92.69,8,Callahan,Laura
7,"Pavlova, Ltd.",2,Condiments,63,Vegie-spread,43.9,24,0,10278,1996/8/12,35.1,8,0,BERGS,Sweden,2,United Package,1996/8/16,92.69,8,Callahan,Laura
17,Svensk Sjöföda AB,8,Seafood,73,Röd Kaviar,15,101,0,10278,1996/8/12,12,25,0,BERGS,Sweden,2,United Package,1996/8/16,92.69,8,Callahan,Laura
7,"Pavlova, Ltd.",6,Meat/Poultry,17,Alice Mutton,39,0,0,10279,1996/8/13,31.2,15,0.25,LEHMS,Germany,2,United Package,1996/8/16,25.83,8,Callahan,Laura
10,Refrescos Americanas LTDA,1,Beverages,24,Guaraná Fantástica,4.5,20,0,10280,1996/8/14,3.6,12,0,BERGS,Sweden,1,Speedy Express,1996/9/12,8.98,2,Fuller,Andrew
25,Ma Maison,6,Meat/Poultry,55,Pâté chinois,24,115,0,10280,1996/8/14,19.2,20,0,BERGS,Sweden,1,Speedy Express,1996/9/12,8.98,2,Fuller,Andrew
12,Plutzer Lebensmittelgroßmärkte AG,1,Beverages,75,Rhönbräu Klosterbier,7.75,125,0,10280,1996/8/14,6.2,30,0,BERGS,Sweden,1,Speedy Express,1996/9/12,8.98,2,Fuller,Andrew
8,"Specialty Biscuits, Ltd.",3,Confections,19,Teatime Chocolate Biscuits,9.2,25,0,10281,1996/8/14,7.3,1,0,ROMEY,Spain,1,Speedy Express,1996/8/21,2.94,4,Peacock,Margaret
10,Refrescos Americanas LTDA,1,Beverages,24,Guaraná Fantástica,4.5,20,0,10281,1996/8/14,3.6,6,0,ROMEY,Spain,1,Speedy Express,1996/8/21,2.94,4,Peacock,Margaret
16,Bigfoot Breweries,1,Beverages,35,Steeleye Stout,18,20,0,10281,1996/8/14,14.4,4,0,ROMEY,Spain,1,Speedy Express,1996/8/21,2.94,4,Peacock,Margaret
13,Nord-Ost-Fisch Handelsgesellschaft mbH,8,Seafood,30,Nord-Ost Matjeshering,25.89,10,0,10282,1996/8/15,20.7,6,0,ROMEY,Spain,1,Speedy Express,1996/8/21,12.69,4,Peacock,Margaret
26,Pasta Buttini s.r.l.,5,Grains/Cereals,57,Ravioli Angelo,19.5,36,0,10282,1996/8/15,15.6,2,0,ROMEY,Spain,1,Speedy Express,1996/8/21,12.69,4,Peacock,Margaret
6,Mayumi's,2,Condiments,15,Genen Shouyu,13,39,0,10283,1996/8/16,12.4,20,0,LILAS,Venezuela,3,Federal Shipping,1996/8/23,84.81,3,Leverling,Janet
